sku,product_name,category,brand,quantity,expiry_date,manufacture_date,cost_price,selling_price,location_code,unit_type,supplier
FRES-001,Organic Bananas,fresh_produce,Fresh Farm,25,2024-02-15,2024-02-10,0.80,1.80,SHELF-A1,kg,Green Supplier
DAIR-002,Greek Yogurt 500ml,dairy,Dairy Best,12,2024-02-20,2024-02-15,1.40,2.80,FRIDGE-B2,pcs,Dairy Co
BAKE-003,Sourdough Bread,bakery_fresh,Artisan Bakery,8,2024-02-17,2024-02-16,1.50,3.00,SHELF-C3,pcs,Local Bakery
MEAT-004,Fresh Salmon Fillet,fresh_meat_fish,Ocean Best,5,2024-02-16,2024-02-15,8.00,12.00,FISH-D1,kg,Fish Market
FROZ-005,Frozen Peas 1kg,frozen,Frozen Co,50,2024-08-15,2024-01-10,2.00,3.50,FREEZER-E1,bags,Frozen Foods
FRES-006,Red Apples,fresh_produce,Orchard Fresh,30,2024-02-22,2024-02-18,1.20,2.50,SHELF-A2,kg,Fruit Supplier
DAIR-007,Whole Milk 1L,dairy,Dairy Best,15,2024-02-25,2024-02-20,1.10,2.20,FRIDGE-B1,bottles,Dairy Co
BAKE-008,Chocolate Croissants,bakery_fresh,Artisan Bakery,6,2024-02-18,2024-02-17,2.00,4.50,SHELF-C1,pcs,Local Bakery
MEAT-009,Chicken Breast,fresh_meat_fish,Farm Fresh,10,2024-02-19,2024-02-17,6.50,9.99,MEAT-E1,kg,Poultry Farm
FROZ-010,Ice Cream Vanilla,frozen,Frozen Co,20,2024-10-15,2024-01-15,3.00,5.99,FREEZER-F1,tubs,Ice Cream Co