Product ID,Product Name,Cat,Brand Name,Qty,Expire Date,Cost,Price,Loc,Units
BANA-001,Organic Bananas,fruit,Fresh Farm,25,15/01/2024,€0.80,$1.80,Shelf A1,kg
YOGU-002,Greek Yogurt 500ml,dairy,,12,2024-01-25,1.40,2.80,Fridge B2,pcs
BREA-003,Sourdough Bread,bakery,Artisan Bakery,0,17-01-2024,1.50,3.00,Shelf C3,pcs
SALM-004,Fresh Salmon Fillet,fish,Ocean Best,-5,2024/01/16,8.00,12.00,Fish Counter,kg
PEAS-005,Frozen Peas,frozen,Frozen Co,50,2025-06-15,2.00,3.50,Freezer E1,bags
APPL-006,Red Apples,fruit,Orchard Fresh,30,22/01/2024,£1.20,$2.50,Shelf A2,kg
MILK-007,Whole Milk 1L,dairy,Dairy Best,15,25-01-2024,1.10,2.20,Fridge B1,bottles
CROI-008,Chocolate Croissants,bakery,Artisan Bakery,6,18/1/2024,2.00,4.50,Shelf C1,pcs
CHIC-009,Chicken Breast,meat,Farm Fresh,10,2024-01-19,6.50,9.99,Meat Counter,kg
ICRM-010,Ice Cream Vanilla,frozen,Frozen Co,20,2024/10/15,3.00,5.99,Freezer F1,tubs